company,valuation,dateJoined,yearJoined,country,city,longitude,latitude,industry,investor_1,investor_2,investor_3,investor_4
CoinSwitch Kuber,1.9,10/06/2021,2021,India,Bangalore,77.59456270,12.97159870,Fintech & data management,Tiger Global Management, Sequoia Capital India, Ribbit Capital,
Acorns,1.9,03/09/2022,2022,United States,Irvine,-117.82650490,33.68456730,Fintech & data management,e.ventures, Bain Capital Ventures, Greycroft,
Roofstock,1.94,03/10/2022,2022,United States,Oakland,-122.27116390,37.80435140,Fintech & data management,Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners,
thatgamecompany,1.94,03/03/2022,2022,United States,Los Angeles,-118.24368490,34.05223420,"Internet, mobile & telecommunications",Benchmark, Sequoia Capital, TPG Capital,
Material Bank,1.9,05/06/2022,2022,United States,Boca Raton,-80.12893210,26.36830640,"Consumer, retail & ecommerce",Bain Capital Ventures, SoftBank Group, Fifth Wall Ventures,
Volocopter,1.87,03/04/2022,2022,Germany,Bruchsal,8.58441080,49.12497120,"Auto, Transport & Travel",btov Partners, Geely, Intel Capital,
FullStory,1.8,08/04/2021,2021,United States,Atlanta,-84.38768450,33.74875200,"Internet, mobile & telecommunications",Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group,
Trulioo,1.75,06/07/2021,2021,Canada,Vancouver,-123.12073750,49.28272910,AI & Cybersecurity,Blumberg Capital, American Express Ventures, BDC Venture Capital,
DispatchHealth,1.7,03/03/2021,2021,United States,Denver,-104.99025100,39.73923580,Health,Alta Partners, Questa Capital, Echo Health Ventures,
Saliogen Therapeutics,1.7,12/07/2021,2021,United States,Cambridge,0.13127290,52.19507880,Health,PBM Capital Group, T. Rowe Price, D1 Capital Partners,
Pax8,1.7,04/11/2022,2022,United States,Greenwood Village,-104.95081410,39.61721010,"Internet, mobile & telecommunications",Liberty Global Ventures, Sageview Capital, Blue Cloud Ventures,
CircleCI,1.7,05/11/2021,2021,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Threshold Ventures, Baseline Ventures, Harrison Metal,
Wave,1.7,09/07/2021,2021,Senegal,Dakar,-17.46768610,14.71667700,Fintech & data management,Stripe, Founders Fund, Partech Partners,
Vestiaire Collective,1.7,03/01/2021,2021,France,Paris,2.35222190,48.85661400,"Consumer, retail & ecommerce",Eurazeo, IDInvest Partners, Balderton Capital,
Reltio,1.7,11/04/2021,2021,United States,Redwood City,-122.22814100,37.48479550,Fintech & data management,Crosslink Capital, .406 Ventures, Sapphire Ventures,
H2O.ai,1.7,11/07/2021,2021,United States,Mountain View,-122.08385110,37.38605170,AI & Cybersecurity,Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners,
ZenBusiness,1.7,11/09/2021,2021,United States,Austin,-97.74306080,30.26715300,Fintech & data management,Greycroft, Lerer Hippeau, Geekdom Fund,
Carsome,1.7,07/12/2021,2021,Malaysia,Selangor,101.51834690,3.07383790,"Consumer, retail & ecommerce",Gobi Partners, 500 Startups, Ondine Capital,
Productboard,1.7,02/02/2022,2022,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners,
Jusfoun Big Data,1.62,07/09/2018,2018,China,Beijing,116.40739500,39.90421100,Fintech & data management,Boxin Capital, DT Capital Partners, IDG Capital,
Transcarent,1.62,01/11/2022,2022,United States,San Francisco,-122.41941550,37.77492950,Health,Alta Partners, General Catalyst, Jove Equity Partners,
Clari,2.6,03/03/2021,2021,United States,Sunnyvale,-122.03634960,37.36883000,"Internet, mobile & telecommunications",Sequoia Capital, Bain Capital Ventures, enaya Capital,
SafetyCulture,1.6,05/03/2021,2021,Australia,Sydney,151.20929550,-33.86881970,"Internet, mobile & telecommunications",Blackbird Ventures, IndexVentures, Tiger Global Management,
SmartHR,1.6,06/08/2021,2021,Japan,Tokyo,139.65031060,35.67619190,Fintech & data management,BEENEXT, World Innovation Lab, Light Street Capital,
Mercury,1.6,07/03/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures,
HomeLight,1.7,09/02/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Zeev Ventures, Menlo Ventures,Crosslink Capital,
Wayflyer,1.6,02/01/2022,2022,Ireland,Dublin,-6.26030970,53.34980530,Fintech & data management,QED Investors, DST Global, Left Lane Capital,
Nord Security,1.6,04/07/2022,2022,Lithuania,Vilnius,25.27965140,54.68715550,AI & Cybersecurity,General Catalyst, BaltCap, Novator Partners,
Vanta,1.6,06/07/2022,2022,United States,San Francisco,-122.41941550,37.77492950,AI & Cybersecurity,Craft Ventures, Sequoia Capital, Verissimo Ventures,
Promasidor Holdings,1.59,11/08/2016,2016,South Africa,Bryanston,-2.18248300,50.85589000,"Consumer, retail & ecommerce",IFC, Ajinomoto,,
Carzone,1.52,03/01/2019,2019,China,Jiangsu,118.76295000,32.06070990,"Consumer, retail & ecommerce",Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital,
Mu Sigma,1.5,02/07/2013,2013,United States,Northbrook,-87.82895480,42.12752670,Fintech & data management,Sequoia Capital, General Atlantic,,
Kushki,1.5,06/07/2022,2022,Ecuador,Quito,-78.46783820,-0.18065320,Fintech & data management,Clocktower Technology Ventures, DILA Capital, Kaszek Ventures,
DT Dream,1.5,06/08/2017,2017,China,Hangzhou,120.15515000,30.27414990,Fintech & data management,Alibaba Group, China Everbright Investment Management, Yinxinggu Capital,
XiaoZhu,1.5,11/01/2017,2017,China,Beijing,116.40739500,39.90421100,"Auto, Transport & Travel",Morningside Ventures, Capital Today, JOY Capital,
Uplight,1.5,03/03/2021,2021,United States,Boulder,-105.27054560,40.01498560,Other,Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners,
TaxBit,1.5,08/04/2021,2021,United States,Draper,-71.09058730,42.36456140,Fintech & data management,Insight Partners, Coinbase Ventures, PayPal Ventures,
Lusha,1.5,11/10/2021,2021,United States,New York,-74.00597280,40.71277530,"Internet, mobile & telecommunications",PSG, ION Crossover Partners,,
CureFit,1.5,11/10/2021,2021,India,Bengaluru,77.59456270,12.97159870,Health,Chiratae Ventures, Accel, Kalaari Capital,
Solugen,1.5,09/10/2021,2021,United States,Houston,-95.36980280,29.76042670,Other,Fifty Years Fund, Refactor Capital, Temasek,
StoreDot,1.5,01/04/2022,2022,Israel,Herzliya,34.84467500,32.16241300,Other,Samsung Ventures, SingulariTeam, BP Ventures,
Il Makiage,1.5,01/10/2022,2022,United States,New York,-74.00597280,40.71277530,"Consumer, retail & ecommerce",L Catterton, Franklin Templeton, First Light Capital Group,
Boba,1.5,04/05/2022,2022,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,DeFi Technologies, Hypersphere Ventures, M13,
Mashgin,1.5,05/09/2022,2022,United States,Palo Alto,-122.14301950,37.44188340,AI & Cybersecurity,New Enterprise Associates, Matrix Partmers, Susa Ventures,
Dock,1.5,05/12/2022,2022,Brazil,Sao Paulo,-46.63955710,-23.55577140,Fintech & data management,Viking Global Investors, Riverwood Capital, Lightrock,
Yipin Shengxian,1.49,03/11/2019,2019,China,Hefei,117.22901000,31.82056990,"Consumer, retail & ecommerce",Eastern Bell Capital, Capital Today, Longzhu Capital,
Bordrin Motors,1.48,06/03/2019,2019,China,Shanghai,121.47370100,31.23041600,"Auto, Transport & Travel",China Grand Prosperity Investment, CSC Group,,
Arcadia,1.48,05/10/2022,2022,United States,DC,-77.03687070,38.90719230,Other,BoxGroup, Energy Impact Partners, Camber Creek,
Aleo,1.45,02/07/2022,2022,United States,San Francisco,-122.41941550,37.77492950,AI & Cybersecurity,Slow Ventures, Andreessen Horowitz, SoftBank Group,
Valgen Medtech,1.43,05/06/2021,2021,China,Hangzhou,120.15515000,30.27414990,Health,Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners,
Papa,1.4,11/04/2021,2021,United States,Miami,-80.19179020,25.76167980,Health,Initialized Capital, Canaan Partners, Sound Ventures,
Envoy,1.4,01/11/2022,2022,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Andreessen Horowitz, Initialized Capital, TriplePoint Capital,
Epidemic Sound,1.4,03/11/2021,2021,Sweden,Stockholm,18.06858080,59.32932350,"Internet, mobile & telecommunications",EQT Partners, Blackstone,,
Rebel Foods,1.4,10/07/2021,2021,India,Pune,73.85674370,18.52043030,"Consumer, retail & ecommerce",Sequoia Capital India, Lightbox Ventures, Coatue Management,
Coda,1.4,07/08/2021,2021,United States,Mountain View,-122.08385110,37.38605170,"Internet, mobile & telecommunications",Greylock Partners, General Catalyst, Khosla Ventures,
Stash,1.4,02/03/2021,2021,United States,New York,-74.00597280,40.71277530,Fintech & data management,Goodwater Capital, Entree Capital, Valar Ventures,
Clarify Health,1.4,04/05/2022,2022,United States,San Francisco,-122.41941550,37.77492950,Health,KKR, Aspenwood Ventures, Spark Capital,
Bucketplace,1.4,05/09/2022,2022,South Korea,Seoul,126.97796920,37.56653500,"Consumer, retail & ecommerce",IMM Investment, Mirae Asset Capital, BOND,
Paddle,1.4,05/09/2022,2022,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Notion Capital, Kindred Capital, BGF Ventures,
Phenom People,1.4,04/07/2021,2021,United States,Ambler,-75.22156510,40.15455350,"Internet, mobile & telecommunications",Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures,
GupShup,1.4,04/08/2021,2021,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Helion Venture Partners, Tiger Global management, CRV,
Scalable Capital,1.4,06/08/2021,2021,Germany,Munich,11.58198060,48.13512530,Fintech & data management,BlackRock, Tengelmann Ventures, Holtzbrinck Ventures,
Panther Labs,1.4,12/02/2021,2021,United States,San Francisco,-122.41941550,37.77492950,AI & Cybersecurity,Innovation Endeavors, s28 Capital, Lightspeed Venture Partners,
Salt Security,1.4,02/10/2022,2022,United States,Palo Alto,-122.14301950,37.44188340,AI & Cybersecurity,Y Combinator, S Capital, Tenaya Capital,
HeartFlow,1.3,12/04/2017,2017,United States,Redwood City,-122.22814100,37.48479550,Health,BlueCross BlueShield Venture Partners, US Venture Partners,,
InSightec,1.3,03/06/2020,2020,Israel,Tirat Carmel,34.97298000,32.76212700,Health,York Capital Management, GE Healthcare, Koch Disruptive Technologies,
Everly Health,1.3,12/03/2020,2020,United States,Austin,-97.74306080,30.26715300,Health,Highland Capital Partners, Next Coast Ventures, SoGal Ventures,
TalkingData,1.3,01/06/2021,2021,China,Beijing,116.40739500,39.90421100,"Internet, mobile & telecommunications",N5 Capital, CR Capital Mgmt, JD Digits,
"Auto, Transport & TravelPerk",1.3,01/12/2022,2022,Spain,Barcelona,2.16856800,41.38739740,"Auto, Transport & Travel",LocalGlobe, Kinnevik, Felix Capital,
iTrustCapital,1.3,01/11/2022,2022,United States,Long Beach,-118.19373950,33.77005040,Fintech & data management,Left Lane Capital, Walden Venture Capital,,
CredAvenue,1.3,03/07/2022,2022,India,Chennai,80.27071840,13.08268020,Fintech & data management,Insight Partners, B Capital Group, ,Lightspeed Venture Partners
Clipboard Health,1.3,02/01/2022,2022,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Caffeinated Capital, Initialized Capital, Y Combinator,
WTOIP,1.27,04/08/2018,2018,China,Guangzhou,113.26436000,23.12907990,"Internet, mobile & telecommunications",Dark Horse Technology Group, Hopu Investment Management, Kefa Capital,
Kuaikan Manhua,1.25,12/01/2017,2017,China,Beijing,116.40739500,39.90421100,"Internet, mobile & telecommunications",Sequoia Capital China, CMC Capital Partners, Tencent Holdings,
Marshmallow,1.25,09/08/2021,2021,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Passion Capital, Hedosophia, Outrun Ventures,
Honor Technology,1.25,10/05/2021,2021,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Andreessen Horowitz, Prosus Ventures, Thrive Capital,
Mythical Games,1.25,11/04/2021,2021,United States,Sherman Oaks,-118.45135700,34.14897190,"Internet, mobile & telecommunications",Javelin Venture Partners, Struck Capital, Alumni Ventures Group,
Incode Technologies,1.25,12/07/2021,2021,United States,San Francisco,-122.41941550,37.77492950,AI & Cybersecurity,Dila Capital, Framework Ventures, 3L,
Talos,1.25,05/10/2022,2022,United States,New York,-74.00597280,40.71277530,Fintech & data management,Castle Island Ventures, PayPal Ventures, Andreessen Horowitz,
BrewDog,1.24,04/10/2017,2017,United Kingdom,Aberdeen,-2.09375280,57.14988910,"Consumer, retail & ecommerce",TSG Consumer Partners, Crowdcube,,
Shulan Health,1.24,03/01/2021,2021,China,Hangzhou,120.15515000,30.27414990,Health,Qiming Venture Partners,,,
EQRx,1.23,01/11/2021,2021,United States,Cambridge,0.13127290,52.19507880,Health,Nextech Invest, Casdin Capital, Google Ventures,
Nexii,1.23,09/08/2021,2021,Canada,Vancouver,-123.12073750,49.28272910,Other,Trane Technologies, Honeywell,,
inDriver,1.23,02/01/2021,2021,United States,Mountain View,-122.08385110,37.38605170,"Auto, Transport & Travel",Leta Capital, Insight Partners, General Catalyst,
Spiber,1.22,09/08/2021,2021,Japan,Tsuruoka,139.82674220,38.72719720,Other,Cool Japan Fund, JAFCO, The Carlyle Group,
Tealium,1.2,02/03/2021,2021,United States,San Diego,-117.16108380,32.71573800,"Internet, mobile & telecommunications",Georgian Partners, Silver Lake, Presidio Ventures,
Ada Support,1.2,05/07/2021,2021,Canada,Toronto,-79.38318430,43.65322600,AI & Cybersecurity,Version One Ventures, Bessemer Venture Partners, FirstMark Capital,
Inari,1.2,05/12/2021,2021,United States,Cambridge,0.13127290,52.19507880,Other,Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai,
Alation,1.2,06/03/2021,2021,United States,Redwood City,-122.22814100,37.48479550,"Internet, mobile & telecommunications",Costanoa Ventures, Data Collective, Salesforce Ventures,
MindTickle,1.2,08/03/2021,2021,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Qualcomm Ventures, Accel, Canaan Partners,
Oda,1.2,06/02/2021,2021,Norway,Oslo,10.75224540,59.91386880,"Consumer, retail & ecommerce",Kinnevik, Softbank Group, Prosus Ventures,
MyGlamm,1.2,11/10/2021,2021,India,Mumbai,72.87765590,19.07598370,"Consumer, retail & ecommerce",L'Occitane, Trifecta Capital, Bessemer Venture Partners,
AgentSync,1.2,12/07/2021,2021,United States,Denver,-104.99025100,39.73923580,Fintech & data management,Craft Ventures, Caffeinated Capital, Operator Collective,
Pristyn Care,1.4,12/07/2021,2021,India,Gurugram,77.02663830,28.45949650,Health,Sequoia Capital India, Hummingbird Ventures, Epiq Capital,
Merama,1.2,12/09/2021,2021,Mexico,Mexico City,-99.13320800,19.43260770,"Consumer, retail & ecommerce",SoftBank Latin America Fund, Advent International, Balderton Capital,
SeekOut,1.2,01/12/2022,2022,United States,Bellevue,-122.20151590,47.61014970,"Internet, mobile & telecommunications",Mayfield, Madrona Venture Group, Tiger Global Management,
BigPanda,1.2,01/12/2022,2022,United States,Mountain View,-122.08385110,37.38605170,AI & Cybersecurity,Advent International, Battery Ventures, Sequoia Capital Israel,
LivSpace,1.2,02/08/2022,2022,India,Bengaluru,77.59456270,12.97159870,"Consumer, retail & ecommerce",Jungle Ventures, Helion Venture Partners, INGKA Investments,
Choco,1.2,04/12/2022,2022,Germany,Berlin,13.40495400,52.52000660,"Consumer, retail & ecommerce",Bessemer Venture Partners, G Squared, Insight Partners,
Viz.ai,1.2,04/07/2022,2022,United States,San Francisco,-122.41941550,37.77492950,AI & Cybersecurity,Kleiner Perkins Caufield & Byers, CRV, Threshold Ventures,
CloudBees,1.15,12/09/2021,2021,United States,San Jose,-121.88525250,37.33874000,Fintech & data management,Matrix Partners, Lightspeed Venture Partners, Verizon Ventures,
L&P Cosmetic,1.19,01/01/2016,2016,South Korea,Seoul,126.97796920,37.56653500,"Consumer, retail & ecommerce",CDIB Capital,,,
Modern Health,1.17,02/11/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Health,Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund,
Venafi,1.15,12/10/2020,2020,United States,Salt Lake City,-111.89104740,40.76077930,AI & Cybersecurity,Pelion Venture Partners, Foundation Capital, Thoma Bravo,
Elemy,1.15,10/06/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Health,General Catalyst, Bling Capital, Felicis Ventures,
Happy Money,1.15,02/08/2022,2022,United States,Tustin,-117.82363910,33.74200050,Fintech & data management,FirstMark Capital, Anthemis, CMFG Ventures,
DANA,1.13,08/10/2022,2022,Indonesia,Jakarta,106.84559900,-6.20876340,Fintech & data management,Ant Group, Lazada, Sinar Mas Indonesia,
Visby Medical,1.12,03/01/2022,2022,United States,San Jose,-121.88525250,37.33874000,Health,Artiman Ventures, Pitango Venture Capital, Valo Ventures,
AppDirect,1.1,10/07/2015,2015,United States,San Francisco,-122.41941550,37.77492950,Other,Mithril, iNovia Capital, Foundry Group,
Sisense,1.1,01/09/2020,2020,United States,New York,-74.00597280,40.71277530,Fintech & data management,Opus Capital, Genesis Partners, Battery Ventures,
Pharmapacks,1.1,11/12/2020,2020,United States,Islandia,-73.16900190,40.80426490,"Consumer, retail & ecommerce",The Carlyle Group,,,
Nexthink,1.1,02/08/2021,2021,Switzerland,Prilly,6.60524010,46.53464490,Fintech & data management,Auriga, Galeo Ventures, Highland Europe,
Zego,1.1,03/09/2021,2021,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,LocalGlobe, Balderton Capital, Target Global,
Qingting FM,1.1,06/02/2021,2021,China,Shanghai,121.47370100,31.23041600,"Internet, mobile & telecommunications",China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group,
Hailo,1,10/12/2021,2021,Israel,Tel Aviv,34.78176760,32.08529990,AI & Cybersecurity,Glory Ventures, Maniv Mobility,,
People.ai,1.1,08/11/2021,2021,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",GGV Capital, Lightspeed Venture Partners, ICONIQ Capital,
IntelyCare,1.1,04/06/2022,2022,United States,Quincy,-71.00227050,42.25287720,Health,Kaiser Permanente Ventures, Endeavour Vision, LRVHealth,
Teleport,1.1,05/03/2022,2022,United States,Oakland,-122.27116390,37.80435140,AI & Cybersecurity,Kleiner Perkins Caufield & Byers, s28 Capital, Insight Partners,
Material Security,1.1,05/11/2022,2022,United States,Redwood City,-122.22814100,37.48479550,AI & Cybersecurity,Andreessen Horowitz, Founders Fund,,
Recover,1.1,06/09/2022,2022,Spain,Banyeres de Mariola,-0.65951840,38.71532720,Other,Goldman Sachs Asset Management, STORY3 Capital Partners,,
Purplle,1.1,06/09/2022,2022,India,Mumbai,72.87765590,19.07598370,"Consumer, retail & ecommerce",Blume Ventures, JSW Ventures, IvyCap Ventures,
CAIS,1.1,01/11/2022,2022,United States,New York,-74.00597280,40.71277530,Fintech & data management,Franklin Templeton, Motive Partners. Apollo Global Management,,
Sendbird,1.05,04/06/2021,2021,United States,San Mateo,-122.32552540,37.56299170,"Internet, mobile & telecommunications",FundersClub, Y Combinator, Tiger Global Management,
Branch,1.05,03/01/2022,2022,United States,Columbus,-82.99879420,39.96117550,Fintech & data management,American Family Ventures, Greycroft, SignalFire,
Lookout,1,10/10/2013,2013,United States,San Francisco,-122.41941550,37.77492950,Other,Accel Partners, Greylock Partners, Lowercase Capital,
Perimeter 81,1,06/06/2022,2022,Israel,Tel Aviv,34.78176760,32.08529990,AI & Cybersecurity,Insight Partners, Toba Capital, Spring Ventures,
InMobi,1,12/02/2014,2014,India,Bengaluru,77.59456270,12.97159870,"Internet, mobile & telecommunications",Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures,
LinkSure Network,1,01/01/2015,2015,China,Shanghai,121.47370100,31.23041600,"Internet, mobile & telecommunications",N/A,,,
Red Ventures,1,01/07/2015,2015,United States,Fort Mill,-80.94507590,35.00736970,Other,Silver Lake Partners, General Atlantic,,
Lamabang,1,03/06/2015,2015,China,Shenzhen,114.05956000,22.54285990,"Consumer, retail & ecommerce",5Y Capital, Matrix Partners China, K2VC,
FXiaoKe,1,07/02/2015,2015,China,Beijing,116.40739500,39.90421100,"Internet, mobile & telecommunications",IDG Capital, Northern Light Venture Capital, DCM Ventures,
Vox Media,1,08/12/2015,2015,United States,Washington,-120.74013860,47.75107410,"Internet, mobile & telecommunications",Accel Partners, Comcast Ventures, General Atlantic,
Mia.com,1,09/08/2015,2015,China,Beijing,116.40739500,39.90421100,"Consumer, retail & ecommerce",Sequoia Capital China, ZhenFund, K2 Ventures,
58 Daojia,1,10/12/2015,2015,China,Beijing,116.40739500,39.90421100,"Internet, mobile & telecommunications",KKR, Alibaba Group, Ping An Insurance,
Womai,1,10/12/2015,2015,China,Beijing,116.40739500,39.90421100,Other,SAIF Partners China, Baidu, IDG Capital,
iCarbonX,1,04/12/2016,2016,China,Shenzhen,114.05956000,22.54285990,AI & Cybersecurity,Tencent, Vcanbio,,
SMS Assist,1,06/07/2016,2016,United States,Chicago,-87.62979820,41.87811360,"Internet, mobile & telecommunications",Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital,
Mobvoi,1,04/06/2017,2017,China,Beijing,116.40739500,39.90421100,"Consumer, retail & ecommerce",Sequoia Capital China, SIG Asia Investments, ZhenFund,
Modernizing Medicine,1,05/10/2017,2017,United States,Boca Raton,-80.12893210,26.36830640,Health,Warburg Pincus, Summit Partners, Sands Capital,
DianRong,1,08/02/2017,2017,China,Shanghai,121.47370100,31.23041600,"Consumer, retail & ecommerce",Standard Chartered, FinSight Ventures, Affirma Capital,
Cell C,1,08/07/2017,2017,South Africa,Midrand,28.12629270,-25.99917950,"Internet, mobile & telecommunications",Blue Label Telecoms, Net1 UEPS Technologies,,
Dxy.cn,1,04/10/2018,2018,China,Hangzhou,120.15515000,30.27414990,Health,Tencent Holdings, DCM Ventures,,
LinkDoc Technology,1,07/05/2018,2018,China,Beijing,116.40739500,39.90421100,Health,China Investment Corporation, New Enterprise Associates,,
MediaMath,1,07/10/2018,2018,United States,New York,-74.00597280,40.71277530,"Internet, mobile & telecommunications",Silicon Valley Bank, QED Investors, European Founders Fund,
Movile,1,07/12/2018,2018,Brazil,Sao Paulo,-46.63955710,-23.55577140,"Internet, mobile & telecommunications",Innova Capital - FIP, 3G Capital Management, Prosus Ventures,
Tresata,1,10/10/2018,2018,United States,Charlotte,-80.84312670,35.22708690,Fintech & data management,GCP Capital Partners,,,
VTS,1,05/07/2019,2019,United States,New York,-74.00597280,40.71277530,"Internet, mobile & telecommunications",Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners,
Yanolja,1,06/10/2019,2019,South Korea,Seoul,126.97796920,37.56653500,"Auto, Transport & Travel",SBI Investment Korea, Partners Investment, GIC,
Ibotta,1,08/06/2019,2019,United States,Denver,-104.99025100,39.73923580,Fintech & data management,Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital,
C2FO,1,08/07/2019,2019,United States,Leawood,-94.61690120,38.96667300,Fintech & data management,Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management,
Quantum Metric,1,01/07/2021,2021,United States,Colorado Springs,-104.82136340,38.83388160,Fintech & data management,Insight Partners, Bain Capital Ventures,,
News Break,1,01/07/2021,2021,United States,Mountain View,-122.08385110,37.38605170,"Internet, mobile & telecommunications",IDG Capital, Francisco Partners, ZhenFund,
MadeiraMadeira,1,01/07/2021,2021,Brazil,Parana,-52.02154150,-25.25208880,"Consumer, retail & ecommerce",Flybridge Capital Partners, SoftBank Group, Monashees+,
Aqua Security,1,03/10/2021,2021,Israel,Ramat Gan,34.82478500,32.06842400,AI & Cybersecurity,TLV Partners, Lightspeed Venture Partners, M12,
Hyperchain,1,04/11/2021,2021,China,Hangzhou,120.15515000,30.27414990,Fintech & data management,Yinhong Equity Investment Fund, E Fund, Ideal International,
The Zebra,1,04/12/2021,2021,United States,Austin,-97.74306080,30.26715300,"Consumer, retail & ecommerce",Silverton Partners, Accel, Ballast Point Ventures,
SaltPay,1,04/09/2021,2021,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Tiger Global Management, Hedosophia,,
XForcePlus,1,06/01/2021,2021,China,Shanghai,121.47370100,31.23041600,"Internet, mobile & telecommunications",Eastern Bell Capital, Danhua Capital, MSA Capital,
Firefly Aerospace,1.1,05/04/2021,2021,United States,Cedar Park,-97.82028880,30.50519800,Other,XBTO Ventures, Raven One Ventures, SK Ventures,
Shift Technology,1,05/06/2021,2021,France,Paris,2.35222190,48.85661400,AI & Cybersecurity,Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures,
TensTorrent,1,05/05/2021,2021,Canada,Toronto,-79.38318430,43.65322600,AI & Cybersecurity,Eclipse Ventures, Fidelity Investments, Moore Capital Management,
Zihaiguo,1,05/06/2021,2021,China,Chongqing,106.55118380,29.56568430,"Consumer, retail & ecommerce",Xingwang Investment Management, China Capital Investment Group, Matrix Partners China,
Forte Labs,1.73,05/12/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Iris Capital, Accel, Elaia Partners,
Thirty Madison,1,06/02/2021,2021,United States,New York,-74.00597280,40.71277530,Health,Northzone Ventures, Maveron, Johnson & Johnson Innovation,
LetsGetChecked,1,06/07/2021,2021,Ireland,Dublin,-6.26030970,53.34980530,Health,Optum Ventures, Qiming Venture Partners, Transformation Capital,
Morning Consult,1,06/08/2021,2021,United States,Washington DC,-77.03687070,38.90719230,"Internet, mobile & telecommunications",Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems,
MobileCoin,1.06,07/07/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,General Catalyst, Future Ventures, AU21,
Xiaobing,1,07/12/2021,2021,China,Beijing,116.40739500,39.90421100,Fintech & data management,NetEase Capital, Northern Light Venture Capital, Microsoft,
dMed Biopharmaceutical,1,07/12/2021,2021,China,Shanghai,121.47370100,31.23041600,Health,Qiming Venture Partners, Vivo Capital, Sequoia Capital China,
Human Interest,1,08/04/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Wing Venture Capital, Slow Ventures, Uncork Capital,
Bluecore,1,08/05/2021,2021,United States,New York,-74.00597280,40.71277530,AI & Cybersecurity,FirstMark Capital, Georgian Partners, Norwest Venture Partners,
Freshbooks,1,08/10/2021,2021,Canada,Toronto,-79.38318430,43.65322600,Fintech & data management,Accomplice, Oak Investment Partners, Georgian Partners,
Snorkel AI,1,08/09/2021,2021,United States,Palo Alto,-122.14301950,37.44188340,AI & Cybersecurity,Greylock Partners, Google Ventures, BlackRock,
Berlin Brands Group,1,09/01/2021,2021,Germany,Berlin,13.40495400,52.52000660,"Consumer, retail & ecommerce",Ardian, Bain Capital,,
Mammoth Biosciences,1,09/09/2021,2021,United States,Brisbane,153.02603410,-27.47045280,Health,NFX, Plum Alley, Mayfield,
Orchard,1,09/09/2021,2021,United States,New York,-74.00597280,40.71277530,Fintech & data management,Accomplice, Juxtapose, FirstMark Capital,
Ajaib,1,10/04/2021,2021,Indonesia,Jakarta,106.84559900,-6.20876340,Fintech & data management,Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners,
Licious,1,10/05/2021,2021,India,Bengaluru,77.59456270,12.97159870,"Consumer, retail & ecommerce",3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia,
Masterworks,1,10/05/2021,2021,United States,New York,-74.00597280,40.71277530,Fintech & data management,Left Lane Capital, Galaxy Interactive, Tru Arrow Partners,
Chronosphere,1,10/07/2021,2021,United States,New York,-74.00597280,40.71277530,Fintech & data management,Greylock Partners, Lux Capital, General Atlantic,
